symbol,price,change,change_percent,timestamp,source
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:41,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:44,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:46,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:49,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:51,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:35:56,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:01,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:05,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:06,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:10,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:11,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:15,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:16,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:20,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:25,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:42,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:47,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:52,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:36:57,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:02,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:07,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:12,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:17,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:22,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:54,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
EURUSD=X,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
EURRON=X,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
EGLD-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
ADA-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:37:55,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:00,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:04,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:05,yfinance
ETH-USD,0.0,0.0,0.0,2025-12-15 17:38:08,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:10,yfinance
BTC-USD,0.0,0.0,0.0,2025-12-15 17:38:15,yfinance
